RUNNABLE	ALL	DEFAULT ARGUMENT	NON-DEFAULT ARGUMENT	UNACCOUNTED	% of DEFAULT ARGUMENTS	% of NON DEFAULT ARGUMENT-	% UNACCOUNTED
dplyr-compatibility	75803	16263	51246	8294	21.45%	67.60%	10.94%
dplyr-dplyr	429436	100327	303486	25623	23.36%	70.67%	5.97%
dplyr-programming	21374	4890	14857	1627	22.88%	69.51%	7.61%
dplyr-two-table	213776	52766	156197	4813	24.68%	73.07%	2.25%
dplyr-window-functions	396975	78681	310456	7838	19.82%	78.21%	1.97%
grid-displaylist	7188	1165	5486	537	16.21%	76.32%	7.47%
grid-frame	104297	16585	65579	22133	15.90%	62.88%	21.22%
grid-grid	180542	27229	124387	28926	15.08%	68.90%	16.02%
grid-grobs	168690	17258	99384	52048	10.23%	58.92%	30.85%
grid-interactive	14488	1345	8824	4319	9.28%	60.91%	29.81%
grid-locndimn	27558	4888	18243	4427	17.74%	66.20%	16.06%
grid-moveline	31742	4695	21587	5460	14.79%	68.01%	17.20%
grid-nonfinite	37713	6904	24850	5959	18.31%	65.89%	15.80%
grid-plotexample	1143774	104079	635102	404593	9.10%	55.53%	35.37%
grid-rotated	73190	8000	48956	16234	10.93%	66.89%	22.18%
grid-saveload	1335	276	827	232	20.67%	61.95%	17.38%
grid-sharing	33703	3332	20485	9886	9.89%	60.78%	29.33%
grid-viewports	50543	5847	32832	11864	11.57%	64.96%	23.47%
rivr-publication-reproduction	4913	1138	3256	519	23.16%	66.27%	10.56%
rivr-quickstart	201260	45086	133919	22255	22.40%	66.54%	11.06%
rivr-technical-vignette	17	5	12	0	29.41%	70.59%	0.00%
stringr-regular-expressions	1643	742	871	30	45.16%	53.01%	1.83%
stringr-stringr	35680	7488	23354	4838	20.99%	65.45%	13.56%
vcd-residual-shadings	1728463	185588	1347473	195402	10.74%	77.96%	11.30%
vcd-strucplot	5591921	821115	3619415	1151391	14.68%	64.73%	20.59%
