"name","strictness_rate","number","percent"
"annotate","0",5369,0.246434977701972
"annotate","(0,10〉",0,0
"annotate","(10,20〉",856,0.0392900616339892
"annotate","(20,30〉",25,0.00114749011781511
"annotate","(30,40〉",19273,0.884623081626021
"annotate","(40,50〉",122293,5.61320035911851
"annotate","(50,60〉",2338,0.107313275818069
"annotate","(60,70〉",31821,1.46057132155978
"annotate","(70,80〉",37319,1.71292734826968
"annotate","(80,90〉",304,0.0139534798326317
"annotate","(90,100)",0,0
"annotate","100",634769,29.1356461838151
"annotate",NA,1324301,60.7848924205065
"Biobase","0",2572,0.244171265447013
"Biobase","(0,10〉",0,0
"Biobase","(10,20〉",415,0.0393977741681611
"Biobase","(20,30〉",26,0.00246829428523419
"Biobase","(30,40〉",12806,1.21572986987342
"Biobase","(40,50〉",56326,5.34727476577311
"Biobase","(50,60〉",5000,0.474671977929652
"Biobase","(60,70〉",13308,1.26338693645756
"Biobase","(70,80〉",10948,1.03934176287477
"Biobase","(80,90〉",154,0.0146198969202333
"Biobase","(90,100)",10,0.000949343955859303
"Biobase","100",279666,26.5499226759348
"Biobase",NA,672128,63.8080654363802
"Biostrings","0",4575,0.316264716678661
"Biostrings","(0,10〉",0,0
"Biostrings","(10,20〉",708,0.0489432610728944
"Biostrings","(20,30〉",13,0.000898675697666139
"Biostrings","(30,40〉",13016,0.899781760063267
"Biostrings","(40,50〉",90627,6.26494480402994
"Biostrings","(50,60〉",1752,0.121113832485467
"Biostrings","(60,70〉",20950,1.44825045123889
"Biostrings","(70,80〉",27651,1.91148320893588
"Biostrings","(80,90〉",141,0.00974717487468659
"Biostrings","(90,100)",0,0
"Biostrings","100",459618,31.7728866776858
"Biostrings",NA,827522,57.2056854372368
"caschrono","0",1287,0.134089038455528
"caschrono","(0,10〉",8,0.000833498296537856
"caschrono","(10,20〉",100,0.0104187287067232
"caschrono","(20,30〉",15,0.00156280930600848
"caschrono","(30,40〉",4624,0.481762015398881
"caschrono","(40,50〉",58780,6.1241287338119
"caschrono","(50,60〉",857,0.0892885050166179
"caschrono","(60,70〉",15332,1.5973994853148
"caschrono","(70,80〉",22051,2.29743386711953
"caschrono","(80,90〉",120,0.0125024744480678
"caschrono","(90,100)",11,0.00114606015773955
"caschrono","100",306790,31.9636177993561
"caschrono",NA,549835,57.2858169846115
"colorspace","0",3644,0.164970258723527
"colorspace","(0,10〉",8,0.000362174003783813
"colorspace","(10,20〉",162,0.00733402357662221
"colorspace","(20,30〉",12,0.000543261005675719
"colorspace","(30,40〉",27219,1.23225177612395
"colorspace","(40,50〉",89034,4.030725031611
"colorspace","(50,60〉",406,0.0183803306920285
"colorspace","(60,70〉",29516,1.33624098696038
"colorspace","(70,80〉",15280,0.691752347227083
"colorspace","(80,90〉",375,0.0169769064273662
"colorspace","(90,100)",293,0.0132646228885821
"colorspace","100",550943,24.9421540208332
"colorspace",NA,1491991,67.5450442599269
"copula","0",1240,0.0575802280641388
"copula","(0,10〉",8,0.000371485342349283
"copula","(10,20〉",163,0.00756901385036663
"copula","(20,30〉",17,0.000789406352492225
"copula","(30,40〉",4726,0.219454965992839
"copula","(40,50〉",48325,2.24400364612864
"copula","(50,60〉",917,0.0425815073667865
"copula","(60,70〉",11883,0.551795040392066
"copula","(70,80〉",17513,0.813227850070373
"copula","(80,90〉",117,0.00543297313185826
"copula","(90,100)",30,0.00139307003380981
"copula","100",667346,30.988657159428
"copula",NA,1401232,65.0671436538462
"dplyr","0",4438,0.252767312254203
"dplyr","(0,10〉",0,0
"dplyr","(10,20〉",270,0.0153779121921214
"dplyr","(20,30〉",2738,0.155943420674179
"dplyr","(30,40〉",7573,0.431321959373834
