"name","strictness_ratio","number","percent"
"annotate","0/0",1324301,60.7848924205065
"annotate","0/1",598,0.0274479636181373
"annotate","1/1",385728,17.7047627265834
"annotate","0/2",4771,0.218987014083835
"annotate","1/2",35814,1.64384844317721
"annotate","2/2",165720,7.60648249297277
"annotate","1/3",13816,0.63414893870934
"annotate","2/3",31431,1.44267047572186
"annotate","3/3",43726,2.00700611566333
"annotate","1/4",25,0.00114749011781511
"annotate","2/4",86243,3.95851960922913
"annotate","3/4",27221,1.2494331398818
"annotate","4/4",29567,1.35711361253757
"annotate","2/5",5426,0.24905125517059
"annotate","3/5",2336,0.107221476608643
"annotate","4/5",10024,0.460097637639145
"annotate","5/5",7403,0.339794773687409
"annotate","1/6",856,0.0392900616339892
"annotate","2/6",30,0.00137698814137813
"annotate","3/6",230,0.010556909083899
"annotate","4/6",384,0.01762544820964
"annotate","5/6",289,0.0132649857619426
"annotate","6/6",527,0.0241890916835424
"annotate","4/7",2,9.17992094252084e-05
"annotate","5/7",67,0.00307527351574448
"annotate","6/7",15,0.000688494070689063
"annotate","7/7",1533,0.0703640940244223
"annotate","3/8",1,4.58996047126042e-05
"annotate","5/8",6,0.000275397628275625
"annotate","6/8",5,0.000229498023563021
"annotate","8/8",530,0.0243267904976802
"annotate","4/9",6,0.000275397628275625
"annotate","7/9",2,9.17992094252084e-05
"annotate","9/9",9,0.000413096442413438
"annotate","10/10",1,4.58996047126042e-05
"annotate","11/11",25,0.00114749011781511
"Biobase","0/0",672128,63.8080654363802
"Biobase","0/1",648,0.0615174883396829
"Biobase","1/1",158812,15.0767212317928
"Biobase","0/2",1877,0.178191860514791
"Biobase","1/2",21900,2.07906326333187
"Biobase","2/2",71189,6.7582846873668
"Biobase","0/3",21,0.00199362230730454
"Biobase","1/3",11594,1.10066938242328
"Biobase","2/3",13035,1.2374698464626
"Biobase","3/3",18371,1.74403978130913
"Biobase","0/4",15,0.00142401593378896
"Biobase","1/4",26,0.00246829428523419
"Biobase","2/4",34393,3.2650786673869
"Biobase","3/4",7937,0.753494297765529
"Biobase","4/4",25660,2.43601659073497
"Biobase","1/5",209,0.0198412886774594
"Biobase","2/5",1179,0.111927652395812
"Biobase","3/5",4977,0.472488486831175
"Biobase","4/5",3010,0.28575253071365
"Biobase","5/5",3071,0.291543528844392
"Biobase","1/6",205,0.0194615510951157
"Biobase","2/6",33,0.0031328350543357
"Biobase","3/6",24,0.00227842549406233
"Biobase","4/6",266,0.0252525492258575
