"name","type","number","percent"
"annotate","closure",874443,40.1365880437038
"annotate","built-in",371230,17.0393102574601
"annotate","special",370693,17.0146621697294
"annotate","primitive",562302,25.8094395291068
"Biobase","closure",393815,37.3865889976732
"Biobase","built-in",210178,19.9531213954597
"Biobase","special",141168,13.4016987560746
"Biobase","primitive",308198,29.2585908507926
"Biostrings","closure",634900,43.8899384960178
"Biostrings","built-in",244616,16.9100349584846
"Biostrings","special",192174,13.2847771940994
"Biostrings","primitive",374883,25.9152493513981
"caschrono","closure",415883,43.3297215073817
"caschrono","built-in",139715,14.5565268125983
"caschrono","special",131251,13.6746856148613
"caschrono","primitive",272961,28.4390660651587
"colorspace","closure",744916,33.7236512753278
"colorspace","built-in",559067,25.3099417216756
"colorspace","special",264293,11.9650067477544
"colorspace","primitive",640607,29.0014002552421
"copula","closure",768736,35.6967695170273
"copula","built-in",378191,17.5615516385522
"copula","special",308245,14.3135624190568
"copula","primitive",698345,32.4281164253637
"dplyr","closure",548275,31.2271289153161
"dplyr","built-in",337501,19.2224471953821
"dplyr","special",397646,22.648019524253
"dplyr","primitive",472343,26.9024043650489
"ggplot2","closure",117530,29.6078154757706
"ggplot2","built-in",89387,22.5181128387025
"ggplot2","special",84446,21.2733905017181
"ggplot2","primitive",105593,26.6006811838088
"grid","closure",776657,39.6873585162126
"grid","built-in",317773,16.2382763276098
"grid","special",139167,7.11146699588847
"grid","primitive",723341,36.9628981602892
"lmtest","closure",58689,33.7611311811132
"lmtest","built-in",39751,22.8669550610921
"lmtest","special",20516,11.8019282542166
"lmtest","primitive",54880,31.5699855035781
"mvtnorm","closure",98959,31.2263141785181
"mvtnorm","built-in",83296,26.2838859104664
"mvtnorm","special",36185,11.4181042507471
"mvtnorm","primitive",98469,31.0716956602684
"rivr","closure",60808,43.5147880722193
"rivr","built-in",34365,24.5919236301443
"rivr","special",10673,7.63770117574656
"rivr","primitive",33895,24.2555871218898
"stringr","closure",31078,31.8353632927341
"stringr","built-in",27927,28.6075741899796
"stringr","special",13011,13.3280749019166
"stringr","primitive",25605,26.2289876153696
"tm","closure",151492,40.2796057442017
"tm","built-in",82105,21.8305721069606
"tm","special",35348,9.39853922217702
"tm","primitive",107156,28.4912829266607
