"name","compiled","number","percent"
"annotate","uncompiled",17824,2.03832611159332
"annotate","compiled",856619,97.9616738884067
"Biobase","uncompiled",6704,1.70232215634245
"Biobase","compiled",387111,98.2976778436576
"Biostrings","uncompiled",5053,0.795873365884391
"Biostrings","compiled",629847,99.2041266341156
"caschrono","uncompiled",309,0.0742997429565527
"caschrono","compiled",415574,99.9257002570434
"colorspace","uncompiled",15944,2.14037555912344
"colorspace","compiled",728972,97.8596244408766
"copula","uncompiled",13540,1.76133288931441
"copula","compiled",755196,98.2386671106856
"dplyr","uncompiled",102889,18.7659477452009
"dplyr","compiled",445386,81.2340522547991
"ggplot2","uncompiled",10309,8.77137752063303
"ggplot2","compiled",107221,91.228622479367
"grid","uncompiled",7,0.000901298771529774
"grid","compiled",776650,99.9990987012285
"lmtest","uncompiled",26,0.0443013171122357
"lmtest","compiled",58663,99.9556986828878
"mvtnorm","uncompiled",643,0.649764043694864
"mvtnorm","compiled",98316,99.3502359563051
"rivr","uncompiled",94,0.154584923036443
"rivr","compiled",60714,99.8454150769636
"stringr","uncompiled",592,1.90488448420104
"stringr","compiled",30486,98.095115515799
"tm","uncompiled",29,0.019142925038946
"tm","compiled",151463,99.9808570749611
