"name","no.of.forces","number","percent"
"annotate",0,389199,21.4017170907887
"annotate",1,1429342,78.5982829092113
"Biobase",0,200809,23.4343564009803
"Biobase",1,656091,76.5656435990197
"Biostrings",0,283423,21.6787340769081
"Biostrings",1,1023955,78.3212659230919
"caschrono",0,186331,21.3716896883556
"caschrono",1,685528,78.6283103116444
"colorspace",0,399981,23.5146279691567
"colorspace",1,1301007,76.4853720308433
"copula",0,164144,10.6662438568572
"copula",1,1374767,89.3337561431428
"dplyr",0,128730,11.0463150632505
"dplyr",1,1036636,88.9536849367495
"ggplot2",0,53845,20.2455256429538
"ggplot2",1,212115,79.7544743570462
"grid",0,630475,37.2742321676668
"grid",1,1060975,62.7257678323332
"lmtest",0,26155,20.7935826496216
"lmtest",1,99629,79.2064173503784
"mvtnorm",0,51505,22.769270216265
"mvtnorm",1,174699,77.230729783735
"rivr",0,14731,12.6738993900078
"rivr",1,101500,87.3261006099922
"stringr",0,17493,23.6663735371711
"stringr",1,56422,76.3336264628289
"tm",0,39188,13.0221677250418
"tm",1,261745,86.9778322749582
"vcd",0,0,NA
