"name","type","no.of.forces","number","percent_within_type","percent_overall"
"annotate","NIL",0,836,5.68050553781341,0.0584884104095378
"annotate","NIL",1,13881,94.3194944621866,0.971145484323917
"annotate","SYM",0,36488,82.3991689625582,2.55278124285074
"annotate","SYM",1,7794,17.6008310374418,0.545285491306146
"annotate","CLOS",0,0,0,0
"annotate","CLOS",1,1169,100,0.081785827474581
"annotate","ENV",0,0,0,0
"annotate","ENV",1,529,100,0.0370100108931166
"annotate","PROM",0,6289,84.7117456896552,0.439992360126296
"annotate","PROM",1,1135,15.2882543103448,0.0794071122186907
"annotate","LANG",0,188235,74.4691793693056,13.1693372409562
"annotate","LANG",1,64534,25.5308206306944,4.51494148010659
"annotate","LGL",0,29446,15.6513604447823,2.06010733602781
"annotate","LGL",1,158691,84.3486395552177,11.1023736080143
"annotate","INT",0,5,0.0464252553389044,0.00034981106704269
"annotate","INT",1,10765,99.9535747446611,0.753143227342912
"annotate","REAL",0,0,0,0
"annotate","REAL",1,4710,100,0.329522025154214
"annotate","STR",0,31678,18.772036906448,2.21626299635567
"annotate","STR",1,137073,81.227963093552,9.58993047854854
"annotate","VEC",0,564,71.7557251908397,0.0394586883624155
"annotate","VEC",1,222,28.2442748091603,0.0155316113766954
"annotate","BCODE",0,95654,8.50641133381889,6.6921655613803
"annotate","BCODE",1,1028839,91.4935886661811,71.9798536810269
"annotate","S4",0,4,100,0.000279848853634152
"annotate","S4",1,0,0,0
"Biobase","NIL",0,632,9.22223843572158,0.0963276603657403
"Biobase","NIL",1,6221,90.7777615642784,0.948187302429225
"Biobase","SYM",0,26396,71.014258810869,4.02320399211089
"Biobase","SYM",1,10774,28.985741189131,1.64214274174127
"Biobase","CLOS",0,0,0,0
"Biobase","CLOS",1,1181,100,0.180004694449271
"Biobase","ENV",0,0,0,0
"Biobase","ENV",1,621,100,0.0946510713403872
"Biobase","PROM",0,5376,69.180285677519,0.819394781845284
"Biobase","PROM",1,2395,30.819714322481,0.365039155974601
"Biobase","LANG",0,69432,65.9010231781165,10.5826299280286
"Biobase","LANG",1,35926,34.0989768218835,5.47573975680314
