"name","type","strict","number","percent"
"annotate","closure",FALSE,235,18.7699680511182
"annotate","built-in",FALSE,0,0
"annotate","special",FALSE,0,0
"annotate","primitive",FALSE,0,0
"annotate","closure",TRUE,684,54.6325878594249
"annotate","built-in",TRUE,0,0
"annotate","special",TRUE,0,0
"annotate","primitive",TRUE,0,0
"annotate","closure",NA,55,4.39297124600639
"annotate","built-in",NA,137,10.9424920127796
"annotate","special",NA,26,2.07667731629393
"annotate","primitive",NA,213,17.0127795527157
"Biobase","closure",FALSE,334,22.7830832196453
"Biobase","built-in",FALSE,0,0
"Biobase","special",FALSE,0,0
"Biobase","primitive",FALSE,0,0
"Biobase","closure",TRUE,726,49.5225102319236
"Biobase","built-in",TRUE,0,0
"Biobase","special",TRUE,0,0
"Biobase","primitive",TRUE,0,0
"Biobase","closure",NA,61,4.16098226466576
"Biobase","built-in",NA,160,10.9140518417462
"Biobase","special",NA,30,2.04638472032742
"Biobase","primitive",NA,289,19.7135061391542
"Biostrings","closure",FALSE,226,20.4710144927536
"Biostrings","built-in",FALSE,0,0
"Biostrings","special",FALSE,0,0
"Biostrings","primitive",FALSE,0,0
"Biostrings","closure",TRUE,566,51.268115942029
"Biostrings","built-in",TRUE,0,0
"Biostrings","special",TRUE,0,0
"Biostrings","primitive",TRUE,0,0
"Biostrings","closure",NA,55,4.98188405797101
"Biostrings","built-in",NA,130,11.7753623188406
"Biostrings","special",NA,25,2.26449275362319
"Biostrings","primitive",NA,196,17.7536231884058
"caschrono","closure",FALSE,208,17.6720475785896
"caschrono","built-in",FALSE,0,0
"caschrono","special",FALSE,0,0
"caschrono","primitive",FALSE,0,0
"caschrono","closure",TRUE,554,47.0688190314359
"caschrono","built-in",TRUE,0,0
"caschrono","special",TRUE,0,0
"caschrono","primitive",TRUE,0,0
"caschrono","closure",NA,53,4.50297366185217
"caschrono","built-in",NA,147,12.4893797790994
"caschrono","special",NA,26,2.2090059473237
"caschrono","primitive",NA,265,22.5148683092608
"colorspace","closure",FALSE,279,17.2222222222222
"colorspace","built-in",FALSE,0,0
"colorspace","special",FALSE,0,0
"colorspace","primitive",FALSE,0,0
"colorspace","closure",TRUE,815,50.3086419753086
"colorspace","built-in",TRUE,0,0
"colorspace","special",TRUE,0,0
"colorspace","primitive",TRUE,0,0
"colorspace","closure",NA,53,3.2716049382716
"colorspace","built-in",NA,137,8.45679012345679
"colorspace","special",NA,30,1.85185185185185
"colorspace","primitive",NA,413,25.4938271604938
"copula","closure",FALSE,209,17.696867061812
"copula","built-in",FALSE,0,0
"copula","special",FALSE,0,0
"copula","primitive",FALSE,0,0
"copula","closure",TRUE,510,43.1837425910246
"copula","built-in",TRUE,0,0
"copula","special",TRUE,0,0
"copula","primitive",TRUE,0,0
"copula","closure",NA,55,4.65707027942422
"copula","built-in",NA,136,11.5156646909399
"copula","special",NA,29,2.45554614733277
"copula","primitive",NA,321,27.1803556308213
"dplyr","closure",FALSE,332,22.4172856178258
"dplyr","built-in",FALSE,0,0
"dplyr","special",FALSE,0,0
"dplyr","primitive",FALSE,0,0
"dplyr","closure",TRUE,780,52.6671168129642
"dplyr","built-in",TRUE,0,0
"dplyr","special",TRUE,0,0
"dplyr","primitive",TRUE,0,0
"dplyr","closure",NA,50,3.37609723160027
"dplyr","built-in",NA,136,9.18298446995273
"dplyr","special",NA,33,2.22822417285618
"dplyr","primitive",NA,241,16.2727886563133
"ggplot2","closure",FALSE,173,17.6530612244898
"ggplot2","built-in",FALSE,0,0
"ggplot2","special",FALSE,0,0
"ggplot2","primitive",FALSE,0,0
"ggplot2","closure",TRUE,475,48.469387755102
"ggplot2","built-in",TRUE,0,0
"ggplot2","special",TRUE,0,0
"ggplot2","primitive",TRUE,0,0
"ggplot2","closure",NA,45,4.59183673469388
"ggplot2","built-in",NA,115,11.734693877551
"ggplot2","special",NA,27,2.75510204081633
"ggplot2","primitive",NA,208,21.2244897959184
"grid","closure",FALSE,215,18.3760683760684
"grid","built-in",FALSE,0,0
"grid","special",FALSE,0,0
"grid","primitive",FALSE,0,0
"grid","closure",TRUE,605,51.7094017094017
"grid","built-in",TRUE,0,0
"grid","special",TRUE,0,0
"grid","primitive",TRUE,0,0
"grid","closure",NA,64,5.47008547008547
"grid","built-in",NA,115,9.82905982905983
"grid","special",NA,19,1.62393162393162
"grid","primitive",NA,254,21.7094017094017
"lmtest","closure",FALSE,152,15.5419222903885
"lmtest","built-in",FALSE,0,0
"lmtest","special",FALSE,0,0
"lmtest","primitive",FALSE,0,0
"lmtest","closure",TRUE,459,46.9325153374233
"lmtest","built-in",TRUE,0,0
"lmtest","special",TRUE,0,0
"lmtest","primitive",TRUE,0,0
"lmtest","closure",NA,46,4.70347648261759
"lmtest","built-in",NA,129,13.1901840490798
"lmtest","special",NA,26,2.65848670756646
"lmtest","primitive",NA,224,22.9038854805726
"mvtnorm","closure",FALSE,124,14.2528735632184
"mvtnorm","built-in",FALSE,0,0
"mvtnorm","special",FALSE,0,0
"mvtnorm","primitive",FALSE,0,0
"mvtnorm","closure",TRUE,384,44.1379310344828
"mvtnorm","built-in",TRUE,0,0
"mvtnorm","special",TRUE,0,0
"mvtnorm","primitive",TRUE,0,0
"mvtnorm","closure",NA,24,2.75862068965517
"mvtnorm","built-in",NA,109,12.5287356321839
"mvtnorm","special",NA,26,2.98850574712644
"mvtnorm","primitive",NA,246,28.2758620689655
"rivr","closure",FALSE,174,19.4630872483221
"rivr","built-in",FALSE,0,0
"rivr","special",FALSE,0,0
"rivr","primitive",FALSE,0,0
"rivr","closure",TRUE,435,48.6577181208054
"rivr","built-in",TRUE,0,0
"rivr","special",TRUE,0,0
"rivr","primitive",TRUE,0,0
"rivr","closure",NA,31,3.4675615212528
"rivr","built-in",NA,111,12.4161073825503
"rivr","special",NA,23,2.57270693512304
"rivr","primitive",NA,163,18.2326621923937
"stringr","closure",FALSE,92,13.1805157593123
"stringr","built-in",FALSE,0,0
"stringr","special",FALSE,0,0
"stringr","primitive",FALSE,0,0
"stringr","closure",TRUE,369,52.865329512894
"stringr","built-in",TRUE,0,0
"stringr","special",TRUE,0,0
"stringr","primitive",TRUE,0,0
"stringr","closure",NA,28,4.01146131805158
"stringr","built-in",NA,94,13.4670487106017
"stringr","special",NA,27,3.86819484240688
"stringr","primitive",NA,130,18.6246418338109
"tm","closure",FALSE,169,18.1916038751346
"tm","built-in",FALSE,0,0
"tm","special",FALSE,0,0
"tm","primitive",FALSE,0,0
"tm","closure",TRUE,459,49.4079655543595
"tm","built-in",TRUE,0,0
"tm","special",TRUE,0,0
"tm","primitive",TRUE,0,0
"tm","closure",NA,36,3.8751345532831
"tm","built-in",NA,135,14.5317545748116
"tm","special",NA,20,2.15285252960172
"tm","primitive",NA,159,17.1151776103337
