"name","type","number","percent"
"annotate","closure",876,69.9680511182109
"annotate","built-in",137,10.9424920127796
"annotate","special",26,2.07667731629393
"annotate","primitive",213,17.0127795527157
"Biobase","closure",987,67.3260572987722
"Biobase","built-in",160,10.9140518417462
"Biobase","special",30,2.04638472032742
"Biobase","primitive",289,19.7135061391542
"Biostrings","closure",753,68.2065217391304
"Biostrings","built-in",130,11.7753623188406
"Biostrings","special",25,2.26449275362319
"Biostrings","primitive",196,17.7536231884058
"caschrono","closure",739,62.7867459643161
"caschrono","built-in",147,12.4893797790994
"caschrono","special",26,2.2090059473237
"caschrono","primitive",265,22.5148683092608
"colorspace","closure",1040,64.1975308641975
"colorspace","built-in",137,8.45679012345679
"colorspace","special",30,1.85185185185185
"colorspace","primitive",413,25.4938271604938
"copula","closure",695,58.848433530906
"copula","built-in",136,11.5156646909399
"copula","special",29,2.45554614733277
"copula","primitive",321,27.1803556308213
"dplyr","closure",1071,72.3160027008778
"dplyr","built-in",136,9.18298446995273
"dplyr","special",33,2.22822417285618
"dplyr","primitive",241,16.2727886563133
"ggplot2","closure",630,64.2857142857143
"ggplot2","built-in",115,11.734693877551
"ggplot2","special",27,2.75510204081633
"ggplot2","primitive",208,21.2244897959184
"grid","closure",782,66.8376068376068
"grid","built-in",115,9.82905982905983
"grid","special",19,1.62393162393162
"grid","primitive",254,21.7094017094017
"lmtest","closure",599,61.2474437627812
"lmtest","built-in",129,13.1901840490798
"lmtest","special",26,2.65848670756646
"lmtest","primitive",224,22.9038854805726
"mvtnorm","closure",489,56.2068965517241
"mvtnorm","built-in",109,12.5287356321839
"mvtnorm","special",26,2.98850574712644
"mvtnorm","primitive",246,28.2758620689655
"rivr","closure",597,66.7785234899329
"rivr","built-in",111,12.4161073825503
"rivr","special",23,2.57270693512304
"rivr","primitive",163,18.2326621923937
"stringr","closure",447,64.0401146131805
"stringr","built-in",94,13.4670487106017
"stringr","special",27,3.86819484240688
"stringr","primitive",130,18.6246418338109
"tm","closure",615,66.200215285253
"tm","built-in",135,14.5317545748116
"tm","special",20,2.15285252960172
"tm","primitive",159,17.1151776103337
