"name","types","number","percent"
"annotate","BCODE→STR",611787,33.6416390941969
"annotate","BCODE→ENV",206099,11.33320612513
"annotate","LANG→NA",188238,10.3510451510304
"annotate","LGL→LGL",158691,8.72628112316412
"annotate","STR→STR",137073,7.53752596174626
"annotate","BCODE→NA",96995,5.33367133322812
"annotate","BCODE→CLOS",90917,4.9994473591742
"annotate","BCODE→VEC",42914,2.35980382075521
"annotate","SYM→NA",36488,2.00644362706147
"annotate","STR→NA",31678,1.74194587859168
"annotate","LGL→NA",29446,1.6192101250398
"annotate","BCODE→LANG",28546,1.56971990183339
"annotate","LANG→STR",26817,1.4746436841402
"annotate","LANG→ENV",23222,1.27695773699906
"annotate","NIL→NIL",13881,0.763304209253462
"annotate","INT→INT",10765,0.591958058685507
"annotate","BCODE→SYM",9106,0.500731080575032
"annotate","BCODE→NIL",8364,0.459929140998196
"annotate","BCODE→INT",7107,0.390807795919916
"annotate","BCODE→LGL",6580,0.361828520775721
"annotate","PROM→NA",6289,0.345826681938983
"annotate","BCODE→S4",5109,0.280939500401696
"annotate","BCODE→REAL",4903,0.269611738201118
"annotate","BCODE→BUILTIN",4827,0.265432563797022
"annotate","REAL→REAL",4710,0.258998834780189
"annotate","LANG→LANG",3392,0.186523152351253
"annotate","LANG→S4",2896,0.159248540450834
"annotate","LANG→INT",2690,0.147920778250257
"annotate","LANG→CLOS",2287,0.125760156081166
"annotate","SYM→STR",2282,0.125485210396686
"annotate","LANG→SYM",1544,0.0849032273674336
"annotate","SYM→CLOS",1509,0.0829786075760734
"annotate","SYM→ENV",1272,0.0699461821317199
"annotate","CLOS→CLOS",1169,0.0642823010314312
"annotate","SYM→S4",1150,0.0632375074304071
"annotate","NIL→NA",836,0.0459709184450612
"annotate","LANG→VEC",707,0.0388773197854764
"annotate","PROM→STR",704,0.0387123523747884
"annotate","SYM→LGL",667,0.0366777543096361
"annotate","VEC→NA",564,0.0310138732093475
"annotate","ENV→ENV",529,0.0290892534179873
"annotate","LANG→LGL",456,0.0250750464245788
"annotate","BCODE→EXTPTR",443,0.0243601876449307
"annotate","SYM→VEC",436,0.0239752636866587
"annotate","BCODE→BCODE",318,0.01748654553293
"annotate","SYM→INT",290,0.0159468496998418
"annotate","LANG→EXTPTR",247,0.0135823168133135
"annotate","BCODE→SPECIAL",245,0.0134723385395215
"annotate","VEC→VEC",222,0.0122075883909134
"annotate","LANG→NIL",159,0.00874327276646499
"annotate","SYM→REAL",146,0.0080284139868169
"annotate","BCODE→LIST",145,0.0079734248499209
"annotate","LANG→REAL",111,0.00610379419545669
"annotate","BCODE→EXPR",84,0.00461908749926452
"annotate","PROM→LANG",78,0.00428915267788848
"annotate","PROM→EXTPTR",66,0.00362928303513641
"annotate","PROM→S4",63,0.00346431562444839
"annotate","PROM→VEC",51,0.00280444598169632
"annotate","PROM→ENV",46,0.00252950029721629
"annotate","PROM→REAL",40,0.00219956547584025
"annotate","PROM→CLOS",39,0.00214457633894424
"annotate","PROM→INT",28,0.00153969583308817
"annotate","SYM→NIL",17,0.000934815327232105
"annotate","SYM→BUILTIN",16,0.000879826190336099
"annotate","PROM→NIL",14,0.000769847916544087
"annotate","INT→NA",5,0.000274945684480031
"annotate","BCODE→RAW",4,0.000219956547584025
"annotate","PROM→LGL",4,0.000219956547584025
"annotate","S4→NA",4,0.000219956547584025
"annotate","SYM→LANG",4,0.000219956547584025
"annotate","SYM→SYM",3,0.000164967410688019
"annotate","LANG→BUILTIN",2,0.000109978273792012
"annotate","PROM→RAW",2,0.000109978273792012
"annotate","LANG→EXPR",1,5.49891368960062e-05
"annotate","SYM→EXTPTR",1,5.49891368960062e-05
"annotate","SYM→RAW",1,5.49891368960062e-05
"Biobase","BCODE→STR",237783,27.7492122768118
"Biobase","LGL→LGL",79764,9.308437390594
"Biobase","BCODE→ENV",72425,8.45197806045046
"Biobase","LANG→NA",69432,8.10269576379974
"Biobase","BCODE→NA",49525,5.77955420702532
"Biobase","STR→STR",48057,5.6082390010503
"Biobase","BCODE→VEC",36577,4.26852608239001
"Biobase","BCODE→CLOS",35457,4.13782238300852
"Biobase","LGL→NA",26399,3.08075621426071
"Biobase","SYM→NA",26396,3.08040611506594
"Biobase","BCODE→LANG",25824,3.0136538685961
"Biobase","STR→NA",22215,2.59248453728556
"Biobase","LANG→ENV",18815,2.19570544987747
"Biobase","BCODE→INT",10677,1.24600303419302
"Biobase","BCODE→REAL",9649,1.12603571011787
"Biobase","BCODE→SYM",8451,0.986229431672307
"Biobase","INT→INT",6603,0.770568327692846
"Biobase","LANG→STR",6471,0.755163963122885
"Biobase","NIL→NIL",6221,0.725989030225231
"Biobase","BCODE→S4",6142,0.716769751429572
"Biobase","BCODE→LGL",5920,0.690862411016455
"Biobase","PROM→NA",5376,0.627377757031159
"Biobase","BCODE→NIL",5151,0.60112031742327
"Biobase","REAL→REAL",5128,0.598436223596686
"Biobase","SYM→STR",2445,0.285330843739059
"Biobase","SYM→S4",2161,0.252188119967324
"Biobase","LANG→LANG",2155,0.25148792157778
"Biobase","VEC→NA",1878,0.219162095927179
"Biobase","LANG→REAL",1742,0.203290932430855
"Biobase","SYM→VEC",1687,0.196872447193371
"Biobase","BCODE→BUILTIN",1670,0.194888551756331
"Biobase","LANG→SYM",1487,0.173532500875248
"Biobase","LANG→INT",1396,0.162912825300502
"Biobase","SYM→CLOS",1260,0.147041661804178
"Biobase","CLOS→CLOS",1181,0.137822383008519
"Biobase","LANG→S4",1125,0.131287198039444
"Biobase","SYM→ENV",1105,0.128953203407632
"Biobase","PROM→INT",1034,0.120667522464698
"Biobase","VEC→VEC",1024,0.119500525148792
"Biobase","LANG→VEC",1002,0.116933131053799
"Biobase","SYM→INT",943,0.110047846889952
"Biobase","LANG→CLOS",881,0.102812463531334
"Biobase","NIL→NA",632,0.0737542303652702
"Biobase","ENV→ENV",621,0.0724705333177734
"Biobase","SYM→REAL",620,0.0723538335861827
"Biobase","LANG→LGL",617,0.0720037343914109
"Biobase","PROM→VEC",601,0.070136538685961
"Biobase","REAL→NA",430,0.0501808845839655
"Biobase","PROM→STR",428,0.0499474851207842
"Biobase","INT→NA",398,0.0464464931730657
"Biobase","SYM→LGL",335,0.0390944100828568
"Biobase","BCODE→BCODE",283,0.0330260240401447
"Biobase","BCODE→LIST",247,0.0288248337028825
"Biobase","LANG→NIL",228,0.0266075388026608
"Biobase","BCODE→SPECIAL",227,0.0264908390710701
"Biobase","PROM→CLOS",199,0.0232232465865328
"Biobase","SYM→NIL",134,0.0156377640331427
