"name","no.of.evaluations","number","percent"
"annotate","0",374411,20.5885377343706
"annotate","1",1150225,63.2498799862087
"annotate","2",172147,9.46621494923678
"annotate","3",68909,3.78924643436689
"annotate","4",21413,1.17748238835418
"annotate","5",22031,1.21146567495591
"annotate","6",4656,0.256029421387805
"annotate","7",892,0.0490503101112375
"annotate","8",727,0.0399771025233965
"annotate","9",1702,0.0935915109970025
"annotate","10",314,0.0172665889853459
"annotate",">10",1114,0.0612578985021509
"Biobase","0",191680,22.3690045512895
"Biobase","1",525825,61.3636363636364
"Biobase","2",76688,8.94946901622126
"Biobase","3",31054,3.62399346481503
"Biobase","4",15200,1.77383592017738
"Biobase","5",10706,1.24938732640915
"Biobase","6",2704,0.315556074221029
"Biobase","7",845,0.0986112731940716
"Biobase","8",356,0.0415451044462598
"Biobase","9",1084,0.126502509044229
"Biobase","10",202,0.0235733457813047
"Biobase",">10",556,0.0648850507643832
"Biostrings","0",271387,20.7581128028772
"Biostrings","1",837129,64.0311371309598
"Biostrings","2",114310,8.74345445617105
"Biostrings","3",52308,4.00098517796689
"Biostrings","4",13113,1.00299989750478
"Biostrings","5",13586,1.0391791815374
"Biostrings","6",2913,0.222812377139588
"Biostrings","7",485,0.0370971517036389
"Biostrings","8",396,0.0302896331435897
"Biostrings","9",820,0.0627209575195544
"Biostrings","10",196,0.0149918386266252
"Biostrings",">10",735,0.0562193948498445
"caschrono","0",180435,20.6954335506085
"caschrono","1",561764,64.4328956861144
"caschrono","2",73029,8.37623973601236
"caschrono","3",32775,3.75920877114304
"caschrono","4",9752,1.11852948699274
"caschrono","5",10318,1.18344824105733
"caschrono","6",1647,0.188906692481238
"caschrono","7",329,0.0377354595181102
"caschrono","8",325,0.037276669736735
"caschrono","9",388,0.0445026087933943
"caschrono","10",152,0.0174340116922576
"caschrono",">10",945,0.108389085849891
"colorspace","0",394079,23.167653152168
"colorspace","1",1017935,59.8437496325665
"colorspace","2",150728,8.86120301848102
"colorspace","3",60763,3.57221802858104
"colorspace","4",35314,2.07608754441536
"colorspace","5",28584,1.68043513534487
"colorspace","6",3180,0.186950172487989
"colorspace","7",2225,0.130806331379175
"colorspace","8",656,0.03856582174595
"colorspace","9",2998,0.176250508527985
"colorspace","10",998,0.0586717836927715
"colorspace",">10",3528,0.207408870609316
"copula","0",145780,9.47293248277516
"copula","1",1198644,77.8891046980625
"copula","2",127765,8.30229948320598
"copula","3",27888,1.81219056852541
"copula","4",7352,0.477740428133921
"copula","5",7982,0.518678468085549
"copula","6",1346,0.0874644472617325
"copula","7",7327,0.476115902739015
"copula","8",228,0.0148156716015416
"copula","9",13579,0.882377213497077
"copula","10",153,0.00994209541682397
"copula",">10",867,0.0563385406953359
"dplyr","0",121342,10.4123511411865
"dplyr","1",865025,74.2277533410105
"dplyr","2",107510,9.22542789132341
"dplyr","3",42420,3.64005814482317
"dplyr","4",16765,1.43860383776427
"dplyr","5",6537,0.560939653293472
"dplyr","6",922,0.0791167753306686
"dplyr","7",461,0.0395583876653343
"dplyr","8",2801,0.240353674296315
"dplyr","9",1041,0.0893281595653211
"dplyr","10",193,0.0165613206494784
"dplyr",">10",349,0.0299476730915438
"ggplot2","0",48824,18.3576477665814
"ggplot2","1",169643,63.7851556625056
"ggplot2","2",26669,10.0274477365017
"ggplot2","3",10682,4.01639344262295
"ggplot2","4",4476,1.6829598435855
"ggplot2","5",4015,1.50962550759513
"ggplot2","6",450,0.169198375695593
"ggplot2","7",275,0.103399007369529
"ggplot2","8",73,0.0274477365017296
"ggplot2","9",543,0.204166040006016
"ggplot2","10",60,0.0225597834260791
