"name","type","number","percent"
"annotate","BCODE",1124493,61.8348995156007
"annotate","LANG",252769,13.8995491440666
"annotate","LGL",188137,10.3454912482039
"annotate","STR",168751,9.27947184033794
"annotate","SYM",44282,2.43502896002895
"annotate","NIL",14717,0.809275127698523
"annotate","INT",10770,0.592233004369987
"annotate","REAL",4710,0.258998834780189
"annotate","PROM→SYM",4356,0.239532680319003
"annotate","PROM→LGL",1211,0.0665918447810635
"annotate","CLOS",1169,0.0642823010314312
"annotate","PROM→LANG",847,0.0465757989509172
"annotate","VEC",786,0.0432214616002609
"annotate","ENV",529,0.0290892534179873
"annotate","PROM→STR",488,0.026834698805251
"annotate","PROM→BCODE",292,0.0160568279736338
"annotate","PROM→ENV",104,0.00571887023718464
"annotate","PROM→S4",61,0.00335433735065638
"annotate","PROM→VEC",47,0.00258448943411229
"annotate","PROM→NIL",8,0.00043991309516805
"annotate","PROM→REAL",8,0.00043991309516805
"annotate","S4",4,0.000219956547584025
"annotate","PROM→INT",2,0.000109978273792012
"Biobase","BCODE",506037,59.0543820749212
"Biobase","LGL",106163,12.3891936048547
"Biobase","LANG",105358,12.2952503209243
"Biobase","STR",70272,8.20072353833586
"Biobase","SYM",37170,4.33772902322325
"Biobase","INT",7001,0.817014820865912
"Biobase","NIL",6853,0.799743260590501
"Biobase","REAL",5558,0.648617108180651
"Biobase","PROM→SYM",3676,0.428988213327109
"Biobase","VEC",2902,0.338662621075972
"Biobase","PROM→BCODE",1412,0.164780021005952
"Biobase","PROM→LGL",1191,0.138989380324425
"Biobase","CLOS",1181,0.137822383008519
"Biobase","PROM→LANG",1087,0.126852608239001
"Biobase","ENV",621,0.0724705333177734
"Biobase","PROM→VEC",179,0.0208892519547205
"Biobase","PROM→STR",156,0.0182051581281363
"Biobase","PROM→PROM→BCODE",42,0.00490138872680593
"Biobase","S4",13,0.00151709651067803
"Biobase","PROM→S4",12,0.00140039677908741
"Biobase","PROM→PROM→S4",4,0.000466798926362469
"Biobase","PROM→PROM→PROM→S4",4,0.000466798926362469
"Biobase","PROM→ENV",3,0.000350099194771852
"Biobase","PROM→PROM→STR",1,0.000116699731590617
"Biobase","PROM→PROM→VEC",1,0.000116699731590617
"Biobase","PROM→PROM→ENV",1,0.000116699731590617
"Biobase","PROM→PROM→PROM→STR",1,0.000116699731590617
"Biobase","PROM→PROM→PROM→VEC",1,0.000116699731590617
"Biostrings","BCODE",810764,62.014505368761
"Biostrings","LANG",181029,13.8467222180578
"Biostrings","LGL",135072,10.3315185049771
"Biostrings","STR",124674,9.53618616804015
"Biostrings","SYM",28847,2.20647739215437
"Biostrings","NIL",11398,0.871821309521806
"Biostrings","INT",7099,0.542995216379655
"Biostrings","PROM→SYM",3286,0.251342763913727
"Biostrings","REAL",2122,0.162309599824993
"Biostrings","CLOS",951,0.0727410129281661
"Biostrings","PROM→LANG",747,0.0571372625208624
"Biostrings","PROM→LGL",635,0.0485704975913623
"Biostrings","VEC",345,0.0263886955417637
"Biostrings","ENV",319,0.0243999822545584
"Biostrings","PROM→BCODE",67,0.0051247611631831
"Biostrings","S4",11,0.000841378698433047
"Biostrings","PROM→S4",6,0.000458933835508935
"Biostrings","PROM→INT",5,0.000382444862924112
"Biostrings","PROM→STR",1,7.64889725848224e-05
"caschrono","BCODE",546978,62.736979259261
"caschrono","LANG",125165,14.3561057464567
"caschrono","LGL",87730,10.0624068800116
"caschrono","STR",72567,8.32324951626352
"caschrono","SYM",16204,1.85855740435093
"caschrono","NIL",7245,0.83098299151583
"caschrono","REAL",5968,0.684514353811798
"caschrono","INT",4204,0.482188060225335
"caschrono","PROM→SYM",3439,0.394444514537328
"caschrono","PROM→BCODE",772,0.0885464278054135
"caschrono","VEC",626,0.0718006007852187
"caschrono","CLOS",426,0.0488611117164587
"caschrono","PROM→LANG",341,0.0391118288622357
"caschrono","PROM→LGL",97,0.0111256521983486
"caschrono","ENV",94,0.0107815598623172
"caschrono","PROM→INT",2,0.0002293948906876
"caschrono","PROM→REAL",1,0.0001146974453438
"colorspace","BCODE",1047358,61.5735090429797
"colorspace","STR",179293,10.54052115594
"colorspace","LANG",158102,9.29471577694846
"colorspace","LGL",154652,9.09189247660771
"colorspace","SYM",108153,6.35824591355142
"colorspace","REAL",13080,0.768964860422296
"colorspace","INT",12401,0.729046883340741
"colorspace","NIL",10356,0.608822637196735
"colorspace","PROM→SYM",7178,0.421990043433581
"colorspace","PROM→LGL",5079,0.298591171719024
"colorspace","VEC",2662,0.156497282755669
"colorspace","ENV",1215,0.0714290753373922
"colorspace","PROM→LANG",920,0.0540862134241982
"colorspace","PROM→BCODE",209,0.0122869767452798
"colorspace","CLOS",156,0.00917114053714665
"colorspace","PROM→INT",105,0.0061728830538487
"colorspace","PROM→PROM→BCODE",40,0.00235157449670427
"colorspace","PROM→PROM→PROM→BCODE",16,0.000940629798681707
"colorspace","PROM→VEC",8,0.000470314899340854
"colorspace","PROM→NIL",2,0.000117578724835213
"colorspace","PROM→STR",2,0.000117578724835213
"colorspace","PROM→REAL",1,5.87893624176067e-05
"copula","BCODE",907719,58.9845026775428
"copula","LANG",231285,15.0291342384322
"copula","LGL",140343,9.11963069989103
"copula","STR",92733,6.02588453783227
"copula","INT",59318,3.85454389500108
"copula","REAL",54385,3.53399254407825
"copula","NIL",35245,2.29025590173831
"copula","SYM",12285,0.798291779056749
"copula","PROM→SYM",2610,0.169600451228174
"copula","PROM→BCODE",1390,0.0903236119567668
"copula","CLOS",493,0.0320356407875439
"copula","PROM→LANG",338,0.0219635833391275
"copula","VEC",205,0.0133211082382282
"copula","PROM→PROM→BCODE",133,0.00864247510089927
"copula","ENV",105,0.00682300665860469
"copula","PROM→LGL",100,0.00649810157962351
"copula","PROM→PROM→PROM→BCODE",79,0.00513350024790258
"copula","PROM→PROM→STR",53,0.00344399383720046
"copula","PROM→PROM→PROM→PROM→BCODE",28,0.00181946844229458
"copula","PROM→STR",20,0.0012996203159247
"copula","PROM→REAL",18,0.00116965828433223
"copula","PROM→PROM→PROM→STR",12,0.000779772189554822
"copula","PROM→PROM→REAL",8,0.000519848126369881
"copula","PROM→PROM→PROM→PROM→STR",4,0.000259924063184941
"copula","PROM→PROM→PROM→REAL",2,0.00012996203159247
"dplyr","BCODE",532897,45.727865752047
"dplyr","SYM",188084,16.1394789276502
"dplyr","LANG",150921,12.9505236981343
"dplyr","LGL",98381,8.44206884360793
"dplyr","NIL",55658,4.77601028346459
"dplyr","STR",46604,3.99908698211549
"dplyr","REAL",27678,2.37504783904799
"dplyr","INT",26922,2.3101755156749
"dplyr","CLOS",15403,1.32173068375086
"dplyr","PROM→VEC",10664,0.915077323347343
"dplyr","ENV",7819,0.670948011182753
"dplyr","PROM→SYM",1677,0.143903288752203
"dplyr","PROM→LGL",1128,0.0967936253503191
"dplyr","VEC",939,0.0805755445070476
"dplyr","PROM→LANG",511,0.0438488852429194
"dplyr","PROM→BCODE",68,0.00583507670551569
"dplyr","PROM→REAL",9,0.000772289563965312
"dplyr","PROM→STR",3,0.000257429854655104
"ggplot2","BCODE",132825,49.9417205594826
"ggplot2","LGL",31786,11.9514212663558
"ggplot2","SYM",29943,11.2584599187848
"ggplot2","LANG",29056,10.9249511204692
"ggplot2","STR",28804,10.8302000300797
"ggplot2","NIL",4225,1.5885847495864
"ggplot2","INT",2550,0.958790795608362
"ggplot2","REAL",2376,0.893367423672733
"ggplot2","PROM→SYM",2273,0.854639795457964
"ggplot2","VEC",798,0.300045119566852
"ggplot2","PROM→LGL",769,0.289141224244247
"ggplot2","PROM→LANG",503,0.18912618438863
"ggplot2","ENV",25,0.0093999097608663
"ggplot2","CLOS",18,0.00676793502782373
"ggplot2","PROM→BCODE",9,0.00338396751391187
"grid","BCODE",904921,53.499719175855
"grid","SYM",276485,16.3460344674687
"grid","STR",229228,13.5521593898726
"grid","LGL",109951,6.50039906589021
"grid","LANG",48937,2.8931981436046
"grid","VEC",38223,2.25977711431021
"grid","PROM→SYM",28370,1.67725915634515
"grid","NIL",23944,1.41559017411097
"grid","PROM→LANG",10995,0.650033994501759
"grid","REAL",9996,0.590972242750303
"grid","INT",5447,0.322031393183363
"grid","ENV",4570,0.270182387892045
"grid","PROM→REAL",150,0.00886813089361199
"grid","PROM→LGL",131,0.00774483431375447
"grid","PROM→BCODE",51,0.00301516450382808
"grid","PROM→VEC",36,0.00212835141446688
"grid","PROM→NIL",7,0.00041384610836856
"grid","PROM→PROM→BCODE",5,0.0002956043631204
"grid","CLOS",3,0.00017736261787224
"lmtest","BCODE",72264,57.4508681549323
"lmtest","STR",14099,11.208897793042
"lmtest","LGL",12733,10.1229091140368
"lmtest","LANG",12733,10.1229091140368
"lmtest","SYM",6914,5.49672454366215
"lmtest","NIL",2446,1.94460344717929
"lmtest","INT",1586,1.26089168733702
"lmtest","REAL",1567,1.24578642752655
"lmtest","PROM→SYM",598,0.475418177192648
"lmtest","VEC",320,0.254404375755263
"lmtest","PROM→LGL",241,0.191598295490682
"lmtest","PROM→LANG",160,0.127202187877631
"lmtest","PROM→BCODE",109,0.0866564904916365
"lmtest","PROM→INT",12,0.00954016409082236
"lmtest","CLOS",2,0.00159002734847039
"mvtnorm","BCODE",132483,58.5679298332479
"mvtnorm","STR",25147,11.1169563756609
"mvtnorm","LGL",23665,10.461795547382
"mvtnorm","LANG",19272,8.51974324061467
"mvtnorm","SYM",16333,7.2204735548443
"mvtnorm","INT",2634,1.16443564216371
"mvtnorm","REAL",2491,1.10121836925961
"mvtnorm","NIL",1451,0.641456384502484
"mvtnorm","PROM→SYM",892,0.394334317695531
"mvtnorm","VEC",808,0.357199695849764
"mvtnorm","PROM→LGL",775,0.342611094410355
"mvtnorm","PROM→LANG",137,0.0605647999151209
"mvtnorm","PROM→NIL",91,0.0402291736662482
