"name","type","number","percent"
"annotate","STR",778663,42.8180063028549
"annotate","NA",390543,21.4756224907769
"annotate","ENV",231168,12.711728797976
"annotate","LGL",166398,9.15008240122164
"annotate","CLOS",95921,5.27461300020181
"annotate","VEC",44330,2.43766843859995
"annotate","LANG",32020,1.76075216341012
"annotate","NIL",22435,1.2336812862619
"annotate","INT",20880,1.14817317838861
"annotate","SYM",10653,0.585799275353154
"annotate","REAL",9910,0.544942346639421
"annotate","S4",9218,0.506889863907385
"annotate","BUILTIN",4845,0.26642236826115
"annotate","EXTPTR",757,0.0416267766302767
"annotate","BCODE",318,0.01748654553293
"annotate","SPECIAL",245,0.0134723385395215
"annotate","LIST",145,0.0079734248499209
"annotate","EXPR",85,0.00467407663616053
"annotate","RAW",7,0.000384923958272043
"Biobase","STR",295184,34.4478935698448
"Biobase","NA",202681,23.6528182985179
"Biobase","ENV",92969,10.8494573462481
"Biobase","LGL",86673,10.1147158361536
"Biobase","VEC",40891,4.77196872447193
"Biobase","CLOS",38978,4.54872213793908
"Biobase","LANG",28037,3.27191037460614
"Biobase","INT",20653,2.41019955654102
"Biobase","REAL",17151,2.00151709651068
"Biobase","NIL",11747,1.37087174699498
"Biobase","SYM",9975,1.16407982261641
"Biobase","S4",9479,1.10619675574746
"Biobase","BUILTIN",1680,0.196055549072237
"Biobase","BCODE",283,0.0330260240401447
"Biobase","LIST",247,0.0288248337028825
"Biobase","SPECIAL",229,0.0267242385342514
"Biobase","EXTPTR",40,0.00466798926362469
"Biobase","EXPR",3,0.000350099194771852
"Biostrings","STR",569367,43.5502968537026
"Biostrings","NA",283857,21.7119302910099
"Biostrings","ENV",167077,12.7795480725544
"Biostrings","LGL",122609,9.3782364396525
"Biostrings","CLOS",73681,5.6357839890223
"Biostrings","VEC",23214,1.77561500958407
"Biostrings","NIL",17164,1.31285672544589
"Biostrings","LANG",14686,1.1233170513807
"Biostrings","INT",14229,1.08836159090944
"Biostrings","S4",7307,0.558904922677298
"Biostrings","SYM",5456,0.417323834422791
"Biostrings","REAL",4624,0.353685009232219
"Biostrings","BUILTIN",3639,0.278343371236169
"Biostrings","SPECIAL",164,0.0125441915039109
"Biostrings","LIST",140,0.0107084561618751
"Biostrings","BCODE",119,0.00910218773759387
"Biostrings","EXTPTR",27,0.00206520225979021
"Biostrings","RAW",10,0.000764889725848224
"Biostrings","EXPR",8,0.00061191178067858
"caschrono","STR",389815,44.7107846566933
"caschrono","NA",187309,21.4838637899018
"caschrono","ENV",100630,11.5420039249466
"caschrono","LGL",81212,9.31480893126067
"caschrono","CLOS",50436,5.78488035335989
"caschrono","VEC",17450,2.00147042124931
"caschrono","REAL",11825,1.35629729119043
"caschrono","INT",9811,1.12529663626802
"caschrono","NIL",9211,1.05647816906174
"caschrono","S4",5988,0.686808302718674
"caschrono","LANG",3656,0.419333860176932
"caschrono","BUILTIN",3252,0.372996092258037
"caschrono","SYM",979,0.11228879899158
"caschrono","SPECIAL",154,0.0176634065829452
"caschrono","EXPR",62,0.00711124161131559
"caschrono","LIST",55,0.00630835949390899
"caschrono","BCODE",14,0.0016057642348132
"colorspace","STR",475719,27.9672166999414
"colorspace","NA",401334,23.5941699765078
"colorspace","ENV",240644,14.1473073296225
"colorspace","VEC",131118,7.70834362147176
"colorspace","LGL",126265,7.42303884565911
"colorspace","LANG",111331,6.54507850731457
"colorspace","REAL",51310,3.0164821856474
