"name","function_id","function_name","number","percent"
"annotate",20,"<anonymous>",102,0.00468175968068563
"annotate",283,"<anonymous>",1,4.58996047126042e-05
"annotate",292,"<anonymous>",2,9.17992094252084e-05
"annotate",373,"<anonymous>",62110,2.85082444869985
"annotate",963,"<anonymous>",2,9.17992094252084e-05
"annotate",965,"<anonymous>",2,9.17992094252084e-05
"annotate",1153,"<anonymous>",4,0.000183598418850417
"annotate",142,"base::eval",977,0.0448439138042143
"annotate",310,"base::eval.parent",18,0.000826192884826876
"annotate",147,"eval",977,0.0448439138042143
"annotate",688,"eval",335,0.0153763675787224
"annotate",592,"base::force",674,0.0309363335762952
"annotate",65,"forceAndCall",68,0.00312117312045709
"annotate",699,"return",177,0.00812423003413095
"annotate",669,"$<-",76,0.00348836995815792
"annotate",313,"<-",29996,1.37680454295928
"annotate",396,"@<-",1901,0.0872551485586606
"annotate",1188,"AnnotationDbi::L2Rchain.Rattribnames<-",4,0.000183598418850417
"annotate",1176,"AnnotationDbi::Lkeys<-",3,0.000137698814137813
"annotate",1184,"AnnotationDbi::Rattribnames<-",4,0.000183598418850417
"annotate",1210,"AnnotationDbi::Rattribnames<-",4,0.000183598418850417
"annotate",1037,"AnnotationDbi::direction<-",18,0.000826192884826876
"annotate",1174,"AnnotationDbi::keys<-",3,0.000137698814137813
"annotate",1175,"Lkeys<-",3,0.000137698814137813
"annotate",1183,"Rattribnames<-",8,0.000367196837700834
"annotate",937,"[<-",12,0.000550795256551251
"annotate",718,"[[<-",93,0.00426866323827219
"annotate",222,"attr<-",400,0.0183598418850417
"annotate",110,"attributes<-",1365,0.0626529604327048
"annotate",596,"base::Encoding<-",24,0.0011015905131025
"annotate",431,"base::body<-",97,0.00445226165712261
"annotate",1215,"base::colnames<-",4,0.000183598418850417
"annotate",375,"base::parent.env<-",79,0.00362606877229573
"annotate",418,"body<-",163,0.00748163556815449
"annotate",419,"body<-",78,0.00358016916758313
"annotate",103,"class<-",691,0.0317166268564095
"annotate",1214,"colnames<-",4,0.000183598418850417
"annotate",63,"dim<-",68,0.00312117312045709
"annotate",64,"dimnames<-",68,0.00312117312045709
"annotate",1036,"direction<-",18,0.000826192884826876
"annotate",439,"environment<-",162,0.00743573596344188
"annotate",1173,"keys<-",3,0.000137698814137813
"annotate",471,"length<-",36,0.00165238576965375
"annotate",160,"levels<-",67,0.00307527351574448
"annotate",479,"methods::as<-",40,0.00183598418850417
"annotate",440,"methods::packageSlot<-",101,0.00463586007597303
"annotate",701,"methods::slot<-",786,0.0360770893041069
"annotate",76,"names<-",1451,0.0666003264379887
"annotate",375,"parent.env<-",4305,0.197597798287761
"annotate",376,"parent.env<-",4384,0.201223867060057
"annotate",161,"storage.mode<-",67,0.00307527351574448
"annotate",394,"assign",2245,0.103044612579796
"annotate",545,"assignNativeRoutines",8,0.000367196837700834
"annotate",532,"assignWrapped",90,0.00413096442413438
"annotate",393,"base::assign",2245,0.103044612579796
"annotate",1018,"compiler::cmpSubassignDispatch",9,0.000413096442413438
"annotate",632,"methods::.assignMethodsTableMetaData",1,4.58996047126042e-05
"annotate",455,"methods::.assignOverBinding",91,0.00417686402884698
"annotate",631,"methods::assignMethodsMetaData",2,9.17992094252084e-05
"annotate",99,"base::sprintf",233,0.0106946078980368
"Biobase",22,"<anonymous>",5,0.000474671977929652
"Biobase",271,"<anonymous>",1,9.49343955859303e-05
"Biobase",280,"<anonymous>",2,0.000189868791171861
"Biobase",326,"<anonymous>",16966,1.61065695551089
"Biobase",1266,"<anonymous>",1,9.49343955859303e-05
